dag_id,run_date,task_id,start_time,end_time,log,log_summary,stack_trace,failure_signals
customer_360_pipeline,2026-05-12,ingest_web_events,2026-05-12 01:52:44,2026-05-12 01:57:25,"2026-05-12 01:52:44 INFO  [customer_360_pipeline.ingest_web_events] TaskInstance started — attempt 4
2026-05-12 01:52:46 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 01:52:49 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 01:55:04 INFO  Stage 1 running…
2026-05-12 01:57:22 ERROR Sensor: Timed out waiting for upstream partition to arrive.
2026-05-12 01:57:23 ERROR   airflow.exceptions.AirflowSensorTimeout: Sensor timed out waiting for partition dt=... on upstream dataset
                       	at airflow.sensors.base.BaseSensorOperator.execute(...)
2026-05-12 01:57:25 ERROR [customer_360_pipeline.ingest_web_events] Task failed on attempt 4 (exit_code=1)","A sensor timed out waiting for an upstream dataset partition that never landed, blocking all downstream work.","airflow.exceptions.AirflowSensorTimeout: Sensor timed out waiting for partition dt=... on upstream dataset
	at airflow.sensors.base.BaseSensorOperator.execute(...)","[""UpstreamFailedException"", ""Sensor timeout"", ""Dependency partition not found""]"
user_segmentation,2026-05-12,compute_rfm,2026-05-12 10:40:06,2026-05-12 11:00:41,"2026-05-12 10:40:06 INFO  [user_segmentation.compute_rfm] TaskInstance started — attempt 3
2026-05-12 10:40:08 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-12 10:40:11 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-12 10:50:23 INFO  Stage 1 running…
2026-05-12 11:00:38 ERROR JDBCRDD: Connection timed out after 30000ms while reading from source DB.
2026-05-12 11:00:39 ERROR   java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 30000ms
                       	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:213)
                       	at org.apache.spark.sql.execution.datasources.jdbc.JDBCRDD.compute(...)
2026-05-12 11:00:41 ERROR [user_segmentation.compute_rfm] Task failed on attempt 3 (exit_code=1)","Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect.","java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 30000ms
	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:213)
	at org.apache.spark.sql.execution.datasources.jdbc.JDBCRDD.compute(...)","[""SQLTransientConnectionException"", ""Connection timed out"", ""Read timed out""]"
inventory_sync,2026-05-13,reconcile_stock,2026-05-13 04:41:41,2026-05-13 05:02:42,"2026-05-13 04:41:41 INFO  [inventory_sync.reconcile_stock] TaskInstance started — attempt 3
2026-05-13 04:41:43 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-13 04:41:46 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-13 04:52:11 INFO  Stage 1 running…
2026-05-13 05:02:39 ERROR JDBCRDD: Connection timed out after 30000ms while reading from source DB.
2026-05-13 05:02:40 ERROR   java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 30000ms
                       	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:213)
                       	at org.apache.spark.sql.execution.datasources.jdbc.JDBCRDD.compute(...)
2026-05-13 05:02:42 ERROR [inventory_sync.reconcile_stock] Task failed on attempt 3 (exit_code=1)","Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect.","java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 30000ms
	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:213)
	at org.apache.spark.sql.execution.datasources.jdbc.JDBCRDD.compute(...)","[""SQLTransientConnectionException"", ""Connection timed out"", ""Read timed out""]"
revenue_reporting,2026-05-13,build_dashboards_tbl,2026-05-13 09:06:52,2026-05-13 09:17:04,"2026-05-13 09:06:52 INFO  [revenue_reporting.build_dashboards_tbl] TaskInstance started — attempt 3
2026-05-13 09:06:54 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-13 09:06:57 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-13 09:11:58 INFO  Stage 1 running…
2026-05-13 09:17:01 ERROR DataSource: Path does not exist for the current run partition; 0 input files matched.
2026-05-13 09:17:02 ERROR   org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/build_dashboards_tbl/dt=...
                       	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
                       	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)
2026-05-13 09:17:04 ERROR [revenue_reporting.build_dashboards_tbl] Task failed on attempt 3 (exit_code=1)","The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.","org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/build_dashboards_tbl/dt=...
	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)","[""FileNotFoundException"", ""Path does not exist"", ""0 records read from source""]"
user_segmentation,2026-05-14,compute_rfm,2026-05-14 09:54:57,2026-05-14 10:04:50,"2026-05-14 09:54:57 INFO  [user_segmentation.compute_rfm] TaskInstance started — attempt 3
2026-05-14 09:54:59 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-14 09:55:02 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-14 09:59:53 INFO  Stage 1 running…
2026-05-14 10:04:47 ERROR DataSource: Path does not exist for the current run partition; 0 input files matched.
2026-05-14 10:04:48 ERROR   org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/compute_rfm/dt=...
                       	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
                       	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)
2026-05-14 10:04:50 ERROR [user_segmentation.compute_rfm] Task failed on attempt 3 (exit_code=1)","The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.","org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/compute_rfm/dt=...
	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)","[""FileNotFoundException"", ""Path does not exist"", ""0 records read from source""]"
revenue_reporting,2026-05-15,build_dashboards_tbl,2026-05-15 09:26:57,2026-05-15 09:36:57,"2026-05-15 09:26:57 INFO  [revenue_reporting.build_dashboards_tbl] TaskInstance started — attempt 3
2026-05-15 09:26:59 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-15 09:27:02 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-15 09:31:57 INFO  Stage 1 running…
2026-05-15 09:36:54 ERROR DataSource: Path does not exist for the current run partition; 0 input files matched.
2026-05-15 09:36:55 ERROR   org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/build_dashboards_tbl/dt=...
                       	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
                       	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)
2026-05-15 09:36:57 ERROR [revenue_reporting.build_dashboards_tbl] Task failed on attempt 3 (exit_code=1)","The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.","org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/build_dashboards_tbl/dt=...
	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)","[""FileNotFoundException"", ""Path does not exist"", ""0 records read from source""]"
ml_feature_store,2026-05-20,materialize_online,2026-05-20 07:50:15,2026-05-20 08:02:14,"2026-05-20 07:50:15 INFO  [ml_feature_store.materialize_online] TaskInstance started — attempt 4
2026-05-20 07:50:17 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-20 07:50:20 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-20 07:56:14 INFO  Stage 1 running…
2026-05-20 08:02:11 ERROR Analyzer: cannot resolve column 'customer_id' — upstream schema changed.
2026-05-20 08:02:12 ERROR   org.apache.spark.sql.AnalysisException: cannot resolve 'customer_id' given input columns: [cust_id, ...]
                       	at org.apache.spark.sql.catalyst.analysis.CheckAnalysis.failAnalysis(...)
                       	at org.apache.spark.sql.Dataset.select(Dataset.scala:1685)
2026-05-20 08:02:14 ERROR [ml_feature_store.materialize_online] Task failed on attempt 4 (exit_code=1)","Incoming schema drifted (a referenced column was renamed/dropped), raising an AnalysisException during the transform step.","org.apache.spark.sql.AnalysisException: cannot resolve 'customer_id' given input columns: [cust_id, ...]
	at org.apache.spark.sql.catalyst.analysis.CheckAnalysis.failAnalysis(...)
	at org.apache.spark.sql.Dataset.select(Dataset.scala:1685)","[""AnalysisException"", ""cannot resolve column"", ""Schema mismatch detected""]"
inventory_sync,2026-05-21,normalize_sku,2026-05-21 03:29:20,2026-05-21 03:33:02,"2026-05-21 03:29:20 INFO  [inventory_sync.normalize_sku] TaskInstance started — attempt 3
2026-05-21 03:29:22 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-21 03:29:25 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-21 03:31:11 INFO  Stage 1 running…
2026-05-21 03:32:59 ERROR JDBCRDD: Connection timed out after 30000ms while reading from source DB.
2026-05-21 03:33:00 ERROR   java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 30000ms
                       	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:213)
                       	at org.apache.spark.sql.execution.datasources.jdbc.JDBCRDD.compute(...)
2026-05-21 03:33:02 ERROR [inventory_sync.normalize_sku] Task failed on attempt 3 (exit_code=1)","Connection to the upstream source database timed out after retries, pointing to a network blip or source unavailability rather than a code defect.","java.sql.SQLTransientConnectionException: HikariPool-1 - Connection is not available, request timed out after 30000ms
	at com.zaxxer.hikari.pool.HikariPool.getConnection(HikariPool.java:213)
	at org.apache.spark.sql.execution.datasources.jdbc.JDBCRDD.compute(...)","[""SQLTransientConnectionException"", ""Connection timed out"", ""Read timed out""]"
ml_feature_store,2026-05-21,materialize_online,2026-05-21 07:39:41,2026-05-21 07:48:31,"2026-05-21 07:39:41 INFO  [ml_feature_store.materialize_online] TaskInstance started — attempt 4
2026-05-21 07:39:43 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-21 07:39:46 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-21 07:44:06 INFO  Stage 1 running…
2026-05-21 07:48:28 ERROR DataSource: Path does not exist for the current run partition; 0 input files matched.
2026-05-21 07:48:29 ERROR   org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/materialize_online/dt=...
                       	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
                       	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)
2026-05-21 07:48:31 ERROR [ml_feature_store.materialize_online] Task failed on attempt 4 (exit_code=1)","The upstream source partition for this run date was missing/empty, so the task aborted before processing any records.","org.apache.spark.sql.AnalysisException: Path does not exist: s3://lake/raw/materialize_online/dt=...
	at org.apache.spark.sql.execution.datasources.DataSource.checkAndGlobPathIfNecessary(...)
	at org.apache.spark.sql.DataFrameReader.load(DataFrameReader.scala:309)","[""FileNotFoundException"", ""Path does not exist"", ""0 records read from source""]"
ml_feature_store,2026-05-22,validate_features,2026-05-22 07:49:17,2026-05-22 07:59:56,"2026-05-22 07:49:17 INFO  [ml_feature_store.validate_features] TaskInstance started — attempt 4
2026-05-22 07:49:19 INFO  Acquiring Spark session on job cluster (Photon enabled, DBR 15.4 LTS)
2026-05-22 07:49:22 INFO  Reading inputs from Unity Catalog main.curated.* 
2026-05-22 07:54:36 INFO  Stage 1 running…
2026-05-22 07:59:53 ERROR ShuffleBlockFetcherIterator: Failed to fetch shuffle block from a lost executor.
2026-05-22 07:59:54 ERROR   org.apache.spark.shuffle.FetchFailedException: Failed to connect to executor-7.cluster:35421
                       	at org.apache.spark.storage.ShuffleBlockFetcherIterator.throwFetchFailedException(...)
                       	at org.apache.spark.scheduler.ShuffleMapTask.runTask(ShuffleMapTask.scala:99)
2026-05-22 07:59:56 ERROR [ml_feature_store.validate_features] Task failed on attempt 4 (exit_code=1)",A shuffle fetch failed after an executor/node was lost mid-stage; the stage was retried and ultimately exhausted retries.,"org.apache.spark.shuffle.FetchFailedException: Failed to connect to executor-7.cluster:35421
	at org.apache.spark.storage.ShuffleBlockFetcherIterator.throwFetchFailedException(...)
	at org.apache.spark.scheduler.ShuffleMapTask.runTask(ShuffleMapTask.scala:99)","[""FetchFailedException"", ""Shuffle block fetch failed"", ""Connection reset by peer""]"
